municipio,UF,Módulo fiscal (ha),,
Passabém,MG,20,,
Passa-Vinte,MG,30,,
Passos,MG,26,,
Patis,MG,50,,
Patos de Minas,MG,40,,
Patrocínio,MG,40,,
Patrocínio do Muriaé,MG,28,,
Paula Cândido,MG,28,,
Paulistas,MG,24,,
Pavão,MG,40,,
Peçanha,MG,24,,
Pedra Azul,MG,65,,
Pedra Bonita,MG,26,,
Pedra do Anta,MG,22,,
Pedra do Indaiá,MG,30,,
Pedra Dourada,MG,28,,
Pedralva,MG,30,,
Pedras de Maria da Cruz,MG,65,,
Pedrinópolis,MG,35,,
Pedro Leopoldo,MG,7,,
Pedro Teixeira,MG,24,,
Pequeri,MG,24,,
Pequi,MG,20,,
Perd§es,MG,30,,
Perdigão,MG,35,,
Perdizes,MG,35,,
Periquito,MG,30,,
Pescador,MG,30,,
Piau,MG,30,,
Piedade de Caratinga,MG,20,,
Piedade de Ponte Nova,MG,26,,
Piedade do Rio Grande,MG,30,,
Piedade dos Gerais,MG,20,,
Pimenta,MG,35,,
Pingo-D'água,MG,20,,
Pintópolis,MG,65,,
Piracema,MG,30,,
Pirajuba,MG,30,,
Piranga,MG,28,,
Piranguçu,MG,30,,
Piranguinho,MG,30,,
Pirapetinga,MG,30,,
Pirapora,MG,70,,
Piraúba,MG,30,,
Pitangui,MG,35,,
Piumhi,MG,35,,
Planura,MG,30,,
Poço Fundo,MG,30,,
Poços de Caldas,MG,20,,
Pocrane,MG,30,,
Pompéu,MG,40,,
Ponte Nova,MG,26,,
Ponto Chique,MG,50,,
Ponto dos Volantes,MG,65,,
Porteirinha,MG,65,,
Porto Firme,MG,28,,
Poté,MG,40,,
Pouso Alegre,MG,30,,
Pouso Alto,MG,30,,
Prados,MG,22,,
Prata,MG,30,,
Pratápolis,MG,26,,
Pratinha,MG,35,,
Presidente Bernardes,MG,28,,
Presidente Juscelino,MG,40,,
Presidente Kubitschek,MG,40,,
Presidente Olegário,MG,65,,
Prudente de Morais,MG,7,,
Quartel Geral,MG,40,,
Queluzito,MG,20,,
Raposos,MG,7,,
Raul Soares,MG,26,,
Recreio,MG,30,,
Reduto,MG,24,,
Resende Costa,MG,30,,
Resplendor,MG,30,,
Ressaquinha,MG,30,,
Riachinho,MG,70,,
Riacho dos Machados,MG,65,,
Ribeirão das Neves,MG,7,,
Ribeirão Vermelho,MG,30,,
Rio Acima,MG,7,,
Rio Casca,MG,26,,
Rio do Prado,MG,60,,
Rio Doce,MG,26,,
Rio Espera,MG,22,,
Rio Manso,MG,20,,
Rio Novo,MG,30,,
Rio Paranaíba,MG,40,,
Rio Pardo de Minas,MG,65,,
Rio Piracicaba,MG,20,,
Rio Pomba,MG,30,,
Rio Preto,MG,24,,
Rio Vermelho,MG,24,,
Ritápolis,MG,30,,
Rochedo de Minas,MG,24,,
Rodeiro,MG,30,,
Romaria,MG,40,,
Rosário da Limeira,MG,28,,
Rubelita,MG,65,,
Rubim,MG,60,,
Sabará,MG,7,,
Sabinópolis,MG,24,,
Sacramento,MG,35,,
Salinas,MG,65,,
Salto da Divisa,MG,60,,
Santa Bárbara,MG,20,,
Santa Bárbara do Leste,MG,20,,
Santa Bárbara do Monte Verde,MG,24,,
Santa Bárbara do Tugúrio,MG,22,,
Santa Cruz de Minas,MG,22,,
Santa Cruz de Salinas,MG,65,,
Santa Cruz do Escalvado,MG,26,,
Santa Efigênia de Minas,MG,24,,
Santa Fé de Minas,MG,70,,
Santa Helena de Minas,MG,60,,
Santa Juliana,MG,35,,
Santa Luzia,MG,7,,
Santa Margarida,MG,24,,
Santa Maria de Itabira,MG,20,,
Santa Maria do Salto,MG,60,,
Santa Maria do Suaçuí,MG,30,,
Santa Rita de Caldas,MG,26,,
Santa Rita de Ibitipoca,MG,24,,
Santa Rita de Jacutinga,MG,24,,
Santa Rita de Minas,MG,20,,
Santa Rita do Itueto,MG,30,,
Santa Rita do Sapucaí,MG,30,,
Santa Rosa da Serra,MG,35,,
Santa Vitória,MG,30,,
Santana da Vargem,MG,26,,
Santana de Cataguases,MG,30,,
Santana de Pirapama,MG,20,,
Santana do Deserto,MG,24,,
Santana do Garambéu,MG,30,,
Santana do Jacaré,MG,30,,
Santana do Manhuaçu,MG,24,,
Santana do Paraíso,MG,30,,
Santana do Riacho,MG,20,,
Santana dos Montes,MG,20,,
Santo Antânio do Amparo,MG,30,,
Santo Antânio do Aventureiro,MG,30,,
Santo Antânio do Grama,MG,26,,
Santo Antânio do Itambé,MG,24,,
Santo Antânio do Jacinto,MG,60,,
Santo Antânio do Monte,MG,35,,
Santo Antânio do Retiro,MG,65,,
Santo Antânio do Rio Abaixo,MG,20,,
Santo Hipólito,MG,40,,
Santos Dumont,MG,24,,
São Bento Abade,MG,30,,
São Brás do Suaçuí,MG,20,,
São Domingos das Dores,MG,20,,
São Domingos do Prata,MG,20,,
São Félix de Minas,MG,30,,
São Francisco,MG,65,,
São Francisco de Paula,MG,30,,
São Francisco de Sales,MG,30,,
São Francisco do Glória,MG,28,,
São Geraldo,MG,30,,
São Geraldo da Piedade,MG,30,,
São Geraldo do Baixio,MG,30,,
São Gonçalo do Abaeté,MG,40,,
São Gonçalo do Pará,MG,20,,
São Gonçalo do Rio Abaixo,MG,20,,
São Gonçalo do Rio Preto,MG,40,,
São Gonçalo do Sapucaí,MG,30,,
São Gotardo,MG,40,,
São João Batista do Glória,MG,26,,
São João da Lagoa,MG,50,,
São João da Mata,MG,30,,
São João da Ponte,MG,50,,
São João das Miss§es,MG,65,,
São João Del Rei,MG,30,,
São João do Manhuaçu,MG,24,,
São João do Manteninha,MG,30,,
São João do Oriente,MG,20,,
São João do Pacuí,MG,50,,
São João do Paraíso,MG,65,,
São João Evangelista,MG,24,,
São João Nepomuceno,MG,24,,
São Joaquim de Bicas,MG,20,,
São José da Barra,MG,26,,
São José da Lapa,MG,7,,
São José da Safira,MG,30,,
São José da Varginha,MG,20,,
São José do Alegre,MG,30,,
São José do Divino,MG,24,,
São José do Goiabal,MG,20,,
São José do Jacuri,MG,30,,
São José do Mantimento,MG,24,,
São Lourenço,MG,30,,
São Miguel do Anta,MG,28,,
São Pedro da União,MG,28,,
São Pedro do Suaçuí,MG,24,,
São Pedro dos Ferros,MG,26,,
São Romão,MG,70,,
São Roque de Minas,MG,35,,
São Sebastião da Bela Vista,MG,30,,
São Sebastião da Vargem Alegre,MG,28,,
São Sebastião do Anta,MG,20,,
São Sebastião do Maranhão,MG,24,,
São Sebastião do Oeste,MG,30,,
São Sebastião do Paraíso,MG,28,,
São Sebastião do Rio Preto,MG,20,,
São Sebastião do Rio Verde,MG,30,,
São Thomé das Letras,MG,30,,
São Tiago,MG,30,,
São Tomás de Aquino,MG,28,,
São Vicente de Minas,MG,30,,
Sapucaí-Mirim,MG,30,,
Sardoá,MG,24,,
Sarzedo,MG,7,,
Sem-Peixe,MG,26,,
Senador Amaral,MG,30,,
Senador Cortes,MG,24,,
Senador Firmino,MG,28,,
Senador José Bento,MG,30,,
Senador Modestino Gonçalves,MG,40,,
Senhora de Oliveira,MG,22,,
Senhora do Porto,MG,30,,
Senhora dos Remédios,MG,22,,
Sericita,MG,26,,
Seritinga,MG,30,,
Serra Azul de Minas,MG,24,,
Serra da Saudade,MG,35,,
Serra do Salitre,MG,40,,
Serra dos Aimorés,MG,50,,
Serrania,MG,26,,
Serranópolis de Minas,MG,65,,
Serranos,MG,30,,
Serro,MG,40,,
Sete Lagoas,MG,20,,
Setubinha,MG,40,,
Silveirânia,MG,30,,
Silvianópolis,MG,30,,
Simão Pereira,MG,24,,
Simonésia,MG,24,,
Sobrália,MG,20,,
Soledade de Minas,MG,30,,
Tabuleiro,MG,30,,
Taiobeiras,MG,65,,
Taparuba,MG,30,,
Tapira,MG,35,,
Tapiraí,MG,35,,
Taquaraçu de Minas,MG,7,,
Tarumirim,MG,20,,
Teixeiras,MG,22,,
Teófilo Otoni,MG,40,,
Timóteo,MG,20,,
Tiradentes,MG,22,,
Tiros,MG,40,,
Tocantins,MG,30,,
Tocos do Moji,MG,30,,
Toledo,MG,30,,
Tombos,MG,28,,
Três Coraç§es,MG,30,,
Três Marias,MG,40,,
Três Pontas,MG,26,,
Tumiritinga,MG,30,,
Tupaciguara,MG,20,,
Turmalina,MG,40,,
Turvolândia,MG,30,,
Ubá,MG,30,,
Ubaí,MG,50,,
Ubaporanga,MG,20,,
Uberaba,MG,24,,
Uberlândia,MG,20,,
Umburatiba,MG,60,,
Unaí,MG,65,,
União de Minas,MG,30,,
Uruana de Minas,MG,65,,
Urucânia,MG,26,,
Urucuia,MG,65,,
Vargem Alegre,MG,20,,
Vargem Bonita,MG,35,,
Vargem Grande do Rio Pardo,MG,65,,
Varginha,MG,26,,
Varjão de Minas,MG,40,,
Várzea da Palma,MG,50,,
Varzelândia,MG,50,,
Vazante,MG,50,,
Verdelândia,MG,50,,
Veredinha,MG,40,,
Veríssimo,MG,24,,
Vermelho Novo,MG,26,,
Vespasiano,MG,7,,
Viçosa,MG,22,,
Vieiras,MG,28,,
Virgem da Lapa,MG,65,,
Virgínia,MG,30,,
Virginópolis,MG,24,,
Virgolândia,MG,24,,
Visconde do Rio Branco,MG,30,,
Volta Grande,MG,30,,
Wenceslau Braz,MG,30,,
Água Clara,MS,35,,
Alcinópolis,MS,60,,
Amambaí,MS,45,,
Anastácio,MS,90,,
Anaurilândia,MS,45,,
Angélica,MS,35,,
Antânio João,MS,45,,
Aparecida do Taboado,MS,40,,
Aquidauana,MS,90,,
Aral Moreira,MS,35,,
Bandeirantes,MS,40,,
Bataguassu,MS,45,,
Batayporã,MS,40,,
Bela Vista,MS,50,,
Bodoquena,MS,90,,
Bonito,MS,60,,
Brasilândia,MS,35,,
Caarapó,MS,40,,
Camapuã,MS,70,,
Campo Grande,MS,15,,
Caracol,MS,50,,
Cassilândia,MS,40,,
Chapadão do Sul,MS,40,,
Corguinho,MS,35,,
Coronel Sapucaia,MS,45,,
Corumbá,MS,110,,
Costa Rica,MS,70,,
Coxim,MS,60,,
Deodápolis,MS,30,,
Dois Irmãos do Buriti,MS,90,,
Douradina,MS,30,,
Dourados,MS,30,,
Eldorado,MS,45,,
Fátima do Sul,MS,30,,
Figueirão,MS,70,,
Glória de Dourados,MS,35,,
Guia Lopes da Laguna,MS,50,,
Iguatemi,MS,45,,
Inocência,MS,40,,
Itaporã,MS,30,,
Itaquiraí,MS,45,,
Ivinhema,MS,30,,
Japorã,MS,45,,
Jaraguari,MS,35,,
Jardim,MS,50,,
Jateí,MS,45,,
Juti,MS,40,,
Ladário,MS,110,,
Laguna Carapã,MS,35,,
Maracaju,MS,40,,
Miranda,MS,90,,
Mundo Novo,MS,45,,
Naviraí,MS,45,,
Nioaque,MS,50,,
Nova Alvorada do Sul,MS,30,,
Nova Andradina,MS,40,,
Novo Horizonte do Sul,MS,30,,
Paranaíba,MS,40,,
Paranhos,MS,45,,
Pedro Gomes,MS,60,,
Ponta Porã,MS,35,,
Porto Murtinho,MS,80,,
Ribas do Rio Pardo,MS,35,,
Rio Brilhante,MS,30,,
Rio Negro,MS,40,,
Rio Verde de Mato Grosso,MS,60,,
Rochedo,MS,35,,
Santa Rita do Pardo,MS,35,,
São Gabriel do Oeste,MS,70,,
Selvíria,MS,35,,
Sete Quedas,MS,45,,
Sidrolândia,MS,30,,
Sonora,MS,60,,
Tacuru,MS,45,,
Taquarussu,MS,40,,
Terenos,MS,30,,
Três Lagoas,MS,35,,
Vicentina,MS,30,,
Acorizal,MT,80,,
Água Boa,MT,80,,
Alta Floresta,MT,100,,
Alto Araguaia,MT,60,,
Alto Boa Vista,MT,80,,
Alto Garças,MT,60,,
Alto Paraguai,MT,80,,
Alto Taquari,MT,60,,
Apiacás,MT,100,,
Araguaiana,MT,80,,
Araguainha,MT,60,,
Araputanga,MT,80,,
Arenápolis,MT,80,,
Aripuanã,MT,100,,
Barão de Melgaço,MT,80,,
Barra do Bugres,MT,80,,
Barra do Garças,MT,80,,
Bom Jesus do Araguaia,MT,80,,
Brasnorte,MT,100,,
Cáceres,MT,80,,
Campinápolis,MT,80,,
Campo Novo do Parecis,MT,100,,
Campo Verde,MT,60,,
Campos de Júlio,MT,100,,
Canabrava do Norte,MT,80,,
Canarana,MT,80,,
Carlinda,MT,100,,
Castanheira,MT,100,,
Chapada dos Guimarães,MT,90,,
Cláudia,MT,100,,
Cocalinho,MT,80,,
Colíder,MT,90,,
Colniza,MT,100,,
Comodoro,MT,100,,
Confresa,MT,80,,
Conquista D'oeste,MT,100,,
Cotriguaçu,MT,100,,
Cuiabá,MT,30,,
Curvelândia,MT,80,,
Denise,MT,80,,
Diamantino,MT,100,,
Dom Aquino,MT,60,,
Feliz Natal,MT,90,,
Figueirópolis D'oeste,MT,80,,
Gaúcha do Norte,MT,90,,
General Carneiro,MT,60,,
Glória D'oeste,MT,80,,
Guarantã do Norte,MT,90,,
Guiratinga,MT,60,,
Indiavaí,MT,80,,
Ipiranga do Norte,MT,100,,
Itanhangá,MT,100,,
Itaúba,MT,100,,
Itiquira,MT,60,,
Jaciara,MT,60,,
Jangada,MT,80,,
Jauru,MT,80,,
Juara,MT,100,,
Juína,MT,100,,
Juruena,MT,100,,
Juscimeira,MT,60,,
Lambari D'oeste,MT,80,,
Lucas do Rio Verde,MT,100,,
Luciára,MT,80,,
Marcelândia,MT,90,,
Matupá,MT,90,,
Mirassol D'oeste,MT,80,,
Nobres,MT,90,,
Nortelândia,MT,80,,
Nossa Senhora do Livramento,MT,80,,
Nova Bandeirantes,MT,100,,
Nova Brasilândia,MT,90,,
Nova Canaã do Norte,MT,100,,
Nova Guarita,MT,90,,
Nova Lacerda,MT,100,,
Nova Marilândia,MT,80,,
Nova Maringá,MT,100,,
Nova Monte Verde,MT,100,,
Nova Mutum,MT,100,,
Nova Nazaré,MT,80,,
Nova Olímpia,MT,80,,
Nova Santa Helena,MT,100,,
Nova Ubiratã,MT,90,,
Nova Xavantina,MT,80,,
Novo Horizonte do Norte,MT,100,,
Novo Mundo,MT,90,,
Novo Santo Antânio,MT,80,,
Novo São Joaquim,MT,80,,
Paranaíta,MT,100,,
Paranatinga,MT,90,,
Pedra Preta,MT,60,,
Peixoto de Azevedo,MT,90,,
Planalto da Serra,MT,90,,
Poconé,MT,80,,
Pontal do Araguaia,MT,60,,
Ponte Branca,MT,60,,
Pontes E Lacerda,MT,100,,
Porto Alegre do Norte,MT,80,,
Porto dos Gaúchos,MT,100,,
Porto Esperidião,MT,80,,
Porto Estrela,MT,80,,
Poxoréo,MT,60,,
Primavera do Leste,MT,60,,
Querência,MT,80,,
Reserva do Cabaçal,MT,80,,
Ribeirão Cascalheira,MT,80,,
Ribeirãozinho,MT,60,,
Rio Branco,MT,80,,
Rondolândia,MT,100,,
Rondonópolis,MT,60,,
Rosário Oeste,MT,80,,
Salto do Céu,MT,80,,
Santa Carmem,MT,90,,
Santa Cruz do Xingu,MT,80,,
Santa Rita do Trivelato,MT,100,,
Santa Terezinha,MT,80,,
Santo Afonso,MT,80,,
Santo Antânio do Leste,MT,80,,
Santo Antânio do Leverger,MT,70,,
São Félix do Araguaia,MT,80,,
São José do Povo,MT,60,,
São José do Rio Claro,MT,100,,
São José do Xingu,MT,80,,
São José dos Quatro Marcos,MT,80,,
São Pedro da Cipa,MT,60,,
Sapezal,MT,100,,
Serra Nova Dourada,MT,80,,
Sinop,MT,90,,
Sorriso,MT,90,,
Tabaporã,MT,100,,
Tangará da Serra,MT,80,,
Tapurah,MT,100,,
Terra Nova do Norte,MT,90,,
Tesouro,MT,60,,
Torixoréu,MT,60,,
União do Sul,MT,100,,
Vale de São Domingos,MT,100,,
Várzea Grande,MT,70,,
Vera,MT,90,,
Vila Bela da Santissima Trindade,MT,100,,
Vila Rica,MT,80,,
Abaetetuba,PA,70,,
Abel Figueiredo,PA,70,,
Acará,PA,50,,
Afuá,PA,70,,
Água Azul do Norte,PA,70,,
Alenquer,PA,75,,
Almeirim,PA,70,,
Altamira,PA,75,,
Anajás,PA,70,,
Ananindeua,PA,7,,
Anapu,PA,70,,
Augusto Corrêa,PA,55,,
Aurora do Pará,PA,55,,
Aveiro,PA,75,,
Bagre,PA,70,,
Baião,PA,70,,
Bannach,PA,75,,
Barcarena,PA,70,,
Belém,PA,5,,
Belterra,PA,75,,
Benevides,PA,7,,
Bom Jesus do Tocantins,PA,70,,
Bonito,PA,55,,
Bragança,PA,55,,
Brasil Novo,PA,75,,
Brejo Grande do Araguaia,PA,70,,
Breu Branco,PA,70,,
Breves,PA,70,,
Bujaru,PA,55,,
Cachoeira do Arari,PA,65,,
Cachoeira do Piriá,PA,75,,
Cametá,PA,70,,
Canaã dos Carajás,PA,70,,
Capanema,PA,55,,
Capitão Poço,PA,55,,
Castanhal,PA,55,,
Chaves,PA,65,,
Colares,PA,55,,
Conceição do Araguaia,PA,75,,
Concórdia do Pará,PA,55,,
Cumaru do Norte,PA,75,,
Curionópolis,PA,70,,
Curralinho,PA,70,,
Curuá,PA,75,,
Curuçá,PA,55,,
Dom Eliseu,PA,55,,
Ëbidos,PA,75,,
Eldorado do Carajás,PA,70,,
Faro,PA,75,,
Floresta do Araguaia,PA,75,,
Garrafão do Norte,PA,55,,
Goianésia do Pará,PA,55,,
Gurupá,PA,70,,
Igarapé-Açu,PA,55,,
Igarapé-Miri,PA,70,,
Inhangapi,PA,55,,
Ipixuna do Pará,PA,55,,
Irituia,PA,55,,
Itaituba,PA,75,,
Itupiranga,PA,70,,
Jacareacanga,PA,75,,
Jacundá,PA,70,,
Juruti,PA,75,,
Limoeiro do Ajuru,PA,70,,
Mãe do Rio,PA,55,,
Magalhães Barata,PA,55,,
Marabá,PA,70,,
Maracanã,PA,55,,
Marapanim,PA,55,,
Marituba,PA,7,,
Medicilândia,PA,70,,
Melgaço,PA,70,,
Mocajuba,PA,70,,
Moju,PA,70,,
Monte Alegre,PA,75,,
Muaná,PA,65,,
Nova Esperança do Piriá,PA,75,,
Nova Ipixuna,PA,70,,
Nova Timboteua,PA,55,,
Novo Progresso,PA,75,,
Novo Repartimento,PA,70,,
Oeiras do Pará,PA,70,,
Oriximiná,PA,75,,
Ourém,PA,55,,
Ourilândia do Norte,PA,75,,
Pacajá,PA,70,,
Palestina do Pará,PA,70,,
Paragominas,PA,55,,
Parauapebas,PA,70,,
Pau D'arco,PA,75,,
Peixe-Boi,PA,55,,
Piçarra,PA,75,,
Placas,PA,75,,
Ponta de Pedras,PA,65,,
Portel,PA,70,,
Porto de Moz,PA,70,,
Prainha,PA,70,,
Primavera,PA,55,,
Quatipuru,PA,55,,
Redenção,PA,75,,
Rio Maria,PA,75,,
Rondon do Pará,PA,55,,
Rurópolis,PA,75,,
Salinópolis,PA,55,,
Salvaterra,PA,65,,
Santa Bárbara do Pará,PA,7,,
Santa Cruz do Arari,PA,65,,
Santa Isabel do Pará,PA,55,,
Santa Luzia do Pará,PA,75,,
Santa Maria das Barreiras,PA,75,,
Santa Maria do Pará,PA,55,,
Santana do Araguaia,PA,75,,
Santarém,PA,75,,
Santarém Novo,PA,55,,
Santo Antânio do Tauá,PA,55,,
São Caetano de Odivelas,PA,55,,
São Domingos do Araguaia,PA,70,,
São Domingos do Capim,PA,55,,
São Félix do Xingu,PA,75,,
São Francisco do Pará,PA,55,,
São Geraldo do Araguaia,PA,75,,
São João da Ponta,PA,55,,
São João de Pirabas,PA,55,,
São João do Araguaia,PA,70,,
São Miguel do Guamá,PA,55,,
São Sebastião da Boa Vista,PA,70,,
Sapucaia,PA,75,,
Senador José Porfírio,PA,70,,
Soure,PA,65,,
Tailândia,PA,50,,
Terra Alta,PA,55,,
Terra Santa,PA,75,,
Tomé-Açu,PA,50,,
Tracuateua,PA,55,,
Trairão,PA,75,,
Tucumã,PA,75,,
Tucuruí,PA,70,,
Ulianópolis,PA,55,,
Uruará,PA,70,,
Vigia,PA,55,,
Viseu,PA,75,,
Vitória do Xingu,PA,75,,
Xinguara,PA,75,,
Água Branca,PB,40,,
Aguiar,PB,60,,
Alagoa Grande,PB,30,,
Alagoa Nova,PB,16,,
Alagoinha,PB,35,,
Alcantil,PB,60,,
Algodão de Jandaíra,PB,18,,
Alhandra,PB,10,,
Amparo,PB,55,,
Aparecida,PB,55,,
Araçagi,PB,35,,
Arara,PB,30,,
Araruna,PB,40,,
Areia,PB,25,,
Areia de Baraúnas,PB,60,,
Areial,PB,16,,
Aroeiras,PB,60,,
Assunção,PB,55,,
Baía da Traição,PB,16,,
Bananeiras,PB,25,,
Baraúna,PB,30,,
Barra de Santa Rosa,PB,30,,
Barra de Santana,PB,60,,
Barra de São Miguel,PB,60,,
Bayeux,PB,12,,
Belém,PB,35,,
Belém do Brejo do Cruz,PB,60,,
Bernardino Batista,PB,55,,
Boa Ventura,PB,55,,
Boa Vista,PB,12,,
Bom Jesus,PB,55,,
Bom Sucesso,PB,60,,
Bonito de Santa Fé,PB,50,,
Boqueirão,PB,60,,
Borborema,PB,20,,
Brejo do Cruz,PB,60,,
Brejo dos Santos,PB,60,,
Caaporã,PB,10,,
Cabaceiras,PB,60,,
Cabedelo,PB,10,,
Cachoeira dos ═ndios,PB,50,,
Cacimba de Areia,PB,55,,
Cacimba de Dentro,PB,30,,
Cacimbas,PB,40,,
Caiçara,PB,35,,
Cajazeiras,PB,50,,
Cajazeirinhas,PB,60,,
Caldas Brandão,PB,30,,
Camalaú,PB,55,,
Campina Grande,PB,12,,
Campo de Santana,PB,40,,
Capim,PB,10,,
Caraúbas,PB,55,,
Carrapateira,PB,55,,
Casserengue,PB,16,,
Catingueira,PB,60,,
Catolé do Rocha,PB,60,,
Caturité,PB,60,,
Conceição,PB,60,,
Condado,PB,55,,
Conde,PB,10,,
Congo,PB,55,,
Coremas,PB,55,,
Coxixola,PB,55,,
Cruz do Espírito Santo,PB,10,,
Cubati,PB,28,,
Cuité,PB,35,,
Cuité de Mamanguape,PB,10,,
Cuitegi,PB,35,,
Curral de Cima,PB,10,,
Curral Velho,PB,55,,
Damião,PB,30,,
Desterro,PB,40,,
Diamante,PB,55,,
Dona Inês,PB,30,,
Duas Estradas,PB,35,,
Emas,PB,60,,
Esperança,PB,12,,
Fagundes,PB,20,,
Frei Martinho,PB,30,,
Gado Bravo,PB,60,,
Guarabira,PB,35,,
Gurinhém,PB,35,,
Gurjão,PB,55,,
Ibiara,PB,60,,
Igaracy,PB,60,,
Imaculada,PB,40,,
Ingá,PB,40,,
Itabaiana,PB,30,,
Itaporanga,PB,60,,
Itapororoca,PB,16,,
Itatuba,PB,35,,
Jacaraú,PB,16,,
Jericó,PB,60,,
João Pessoa,PB,7,,
Juarez Távora,PB,35,,
Juazeirinho,PB,30,,
Junco do Seridó,PB,55,,
Juripiranga,PB,30,,
Juru,PB,40,,
Lagoa,PB,60,,
Lagoa de Dentro,PB,35,,
Lagoa Seca,PB,12,,
Lastro,PB,55,,
Livramento,PB,55,,
Logradouro,PB,35,,
Lucena,PB,10,,
Mãe D'água,PB,40,,
Malta,PB,55,,
Mamanguape,PB,10,,
Manaíra,PB,40,,
Marcação,PB,16,,
Mari,PB,30,,
Marizópolis,PB,55,,
Massaranduba,PB,12,,
Mataraca,PB,10,,
Matinhas,PB,16,,
Mato Grosso,PB,60,,
Maturéia,PB,40,,
Mogeiro,PB,30,,
Montadas,PB,12,,
Monte Horebe,PB,50,,
Monteiro,PB,55,,
Mulungu,PB,35,,
Natuba,PB,35,,
Nazarezinho,PB,55,,
Nova Floresta,PB,30,,
Nova Olinda,PB,60,,
Nova Palmeira,PB,30,,
Olho D'água,PB,60,,
Olivedos,PB,55,,
Ouro Velho,PB,55,,
Parari,PB,55,,
Passagem,PB,60,,
Patos,PB,55,,
Paulista,PB,55,,
Pedra Branca,PB,60,,
Pedra Lavrada,PB,30,,
Pedras de Fogo,PB,10,,
Pedro Régis,PB,16,,
Piancó,PB,60,,
Picuí,PB,30,,
Pil§es,PB,25,,
Pil§ezinhos,PB,24,,
Pilar,PB,30,,
Pirpirituba,PB,25,,
Pitimbu,PB,10,,
Pocinhos,PB,14,,
Poço Dantas,PB,55,,
Poço de José de Moura,PB,55,,
Pombal,PB,60,,
Prata,PB,55,,
Princesa Isabel,PB,40,,
Puxinanã,PB,16,,
Queimadas,PB,20,,
Quixabá,PB,55,,
Remígio,PB,18,,
Riachão,PB,40,,
Riachão do Bacamarte,PB,40,,
Riachão do Poço,PB,30,,
Riacho de Santo Antânio,PB,60,,
Riacho dos Cavalos,PB,60,,
Rio Tinto,PB,16,,
Salgadinho,PB,55,,
Salgado de São Félix,PB,30,,
Santa Cecília,PB,60,,
Santa Cruz,PB,55,,
Santa Helena,PB,55,,
Santa Inês,PB,60,,
Santa Luzia,PB,55,,
Santa Rita,PB,10,,
Santa Teresinha,PB,55,,
Santana de Mangueira,PB,60,,
Santana dos Garrotes,PB,60,,
Santarém,PB,55,,
Santo André,PB,55,,
São Bentinho,PB,60,,
São Bento,PB,35,,
São Domingos,PB,60,,
São Domingos do Cariri,PB,60,,
São Francisco,PB,55,,
São João do Cariri,PB,55,,
São João do Rio do Peixe,PB,55,,
São João do Tigre,PB,55,,
São José da Lagoa Tapada,PB,55,,
São José de Caiana,PB,55,,
São José de Espinharas,PB,55,,
São José de Piranhas,PB,55,,
São José de Princesa,PB,40,,
São José do Bonfim,PB,55,,
São José do Brejo do Cruz,PB,60,,
São José do Sabugi,PB,55,,
São José dos Cordeiros,PB,55,,
São José dos Ramos,PB,30,,
São Mamede,PB,55,,
São Miguel de Taipu,PB,30,,
São Sebastião de Lagoa de Roça,PB,30,,
São Sebastião do Umbuzeiro,PB,55,,
Sapé,PB,30,,
Seridó,PB,30,,
Serra Branca,PB,55,,
Serra da Raiz,PB,35,,
Serra Grande,PB,60,,
Serra Redonda,PB,35,,
Serraria,PB,30,,
Sertãozinho,PB,35,,
Sobrado,PB,30,,
Solânea,PB,16,,
Soledade,PB,60,,
Sossego,PB,35,,
Sousa,PB,55,,
Sumé,PB,55,,
Taperoá,PB,55,,
Tavares,PB,40,,
Teixeira,PB,40,,
Tenório,PB,30,,
Triunfo,PB,55,,
Uiraúna,PB,55,,
Umbuzeiro,PB,60,,
Várzea,PB,55,,
Vieirópolis,PB,55,,
Vista Serrana,PB,55,,
Zabelê,PB,55,,
Abreu E Lima,PE,7,,
Afogados da Ingazeira,PE,40,,
Afrânio,PE,55,,
Agrestina,PE,35,,
Água Preta,PE,14,,
Águas Belas,PE,40,,
Alagoinha,PE,20,,
Aliança,PE,14,,
Altinho,PE,40,,
Amaraji,PE,14,,
Angelim,PE,40,,
Araçoiaba,PE,14,,
Araripina,PE,70,,
Arcoverde,PE,40,,
Barra de Guabiraba,PE,30,,
Barreiros,PE,14,,
Belém de Maria,PE,16,,
Belém de São Francisco,PE,55,,
Belo Jardim,PE,20,,
Betânia,PE,65,,
Bezerros,PE,20,,
Bodocó,PE,70,,
Bom Conselho,PE,40,,
Bom Jardim,PE,22,,
Bonito,PE,28,,
Brejão,PE,40,,
Brejinho,PE,40,,
Brejo da Madre de Deus,PE,20,,
Buenos Aires,PE,14,,
Buíque,PE,35,,
Cabo de Santo Agostinho,PE,7,,
Cabrobó,PE,55,,
Cachoeirinha,PE,26,,
Caetés,PE,35,,
Calçado,PE,35,,
Calumbi,PE,40,,
Camaragibe,PE,7,,
Camocim de São Félix,PE,30,,
Camutanga,PE,14,,
Canhotinho,PE,35,,
Capoeiras,PE,26,,
Carnaíba,PE,40,,
Carnaubeira da Penha,PE,55,,
Carpina,PE,14,,
Caruaru,PE,20,,
Casinhas,PE,26,,
Catende,PE,14,,
Cedro,PE,65,,
Chã de Alegria,PE,14,,
Chã Grande,PE,20,,
Condado,PE,14,,
Correntes,PE,45,,
Cortês,PE,16,,
Cumaru,PE,30,,
Cupira,PE,35,,
